"oris_code","unit_id","facility_name","state","fips_code","ertac_region","fuel_type","gen_capacity_mw","annual_so2_2022_tons","avg_annual_so2_rate_2022","annual_nox_2022_tons","avg_annual_nox_rate_2022","annual_so2_2038_tons","avg_annual_so2_rate_2038","annual_nox_2038_tons","avg_annual_nox_rate_2038","longitude","latitude"
1384,"2","John S. Cooper","KY","21199","PJMW","Coal",250.901534086952,66.8956485000001,0.0306541404882334,223.973095,0.10263302432466,49.9643335114657,0.0306541404882334,168.370643777883,0.103298833502445,-84.5917,37
54466,"1","Orlando CoGen","FL","12095","FRCC","Combined Cycle Gas",161.005412401902,2.44344350000003,0.00060005144144957,222.802142500002,0.0547148918177062,1.31998154160317,0.000600051441449562,120.311886279687,0.0546926744884325,-81.4119,28.4422
7302,"1B","Hines Energy Complex","FL","12105","FRCC","Combined Cycle Gas",185.985135579191,3.60095850000027,0.000596365548831317,222.471291999999,0.0368441386238641,1.9588058626361,0.000596365548831278,121.01619809904,0.0368438203976402,-81.8694,27.7886
10745,"010","Midland Cogeneration Venture","MI","26111","MISE","Combined Cycle Gas",129.141179763415,1.61925499999999,0.000600042117620121,222.175381499999,0.0823308165781907,0.423139963515931,0.000600042117620118,59.725505907823,0.0846949523346397,-84.2242,43.5861
2516,"1","Northport","NY","36103","NYCW","Boiler Gas",383.717781106544,108.4884435,0.0280453946297392,222.089338499999,0.0574124113163281,111.718255021983,0.0280453946297388,228.499728124891,0.0573618433870954,-73.3417,40.9231
643,"5","Lansing Smith Generating Plant","FL","12005","SRSE","Combined Cycle Gas",331.408335031587,4.77819550000002,0.000600024697126191,221.152637,0.0277713718567152,2.24059828052635,0.000600024697126187,103.699473591344,0.027770370875753,-85.7003,30.2689
2723,"8C","Dan River","NC","37157","SRCA","Combined Cycle Gas",373.407121766219,3.75576349999998,0.000508350578065635,220.705853499999,0.0298730067026836,0.822501842663171,0.000508350578065632,48.3276036168952,0.0298690701477689,-79.7206,36.4861
1122,"8","Ames","IA","19169","MISW","Boiler Gas",59.5426624754032,20.1666764999999,0.0105286268746117,219.8676255,0.1147885815839,8.41784929513905,0.0105286268746116,91.6335737271967,0.114610712681443,-93.6069,42.0247
3459,"1","Sabine","TX","48361","MISS","Boiler Gas",207.53729809669,0.893185,0.000600040926743402,216.953045499999,0.145748872273519,0,NA,0,NA,-93.875,30.0242
55089,"CT3","Taft Cogeneration Facility","LA","22089","MISS","Combined Cycle Gas",186.530012061556,4.432511,0.000600029100208801,216.764097499999,0.0293433600910403,2.28712633223394,0.000600029100208797,111.90543700873,0.0293584651317601,-90.4575,29.9861
3403,"2","Gallatin","TN","47165","SRCE","Coal",375.786053305535,252.705288,0.0754017930030636,216.464698499999,0.0645883848254395,111.519499106824,0.0754017930030633,44.3700983750986,0.0299999999999999,-86.4006,36.3156
7302,"1A","Hines Energy Complex","FL","12105","FRCC","Combined Cycle Gas",188.333248778117,3.49290100000022,0.000595969266765597,216.105565499999,0.0368725811052163,1.90169882806466,0.000595969266765561,117.666058701417,0.0368751106603157,-81.8694,27.7886
55089,"CT2","Taft Cogeneration Facility","LA","22089","MISS","Combined Cycle Gas",183.224029568088,4.4551275,0.000600031534775054,215.943028499999,0.0290839323486988,2.29880388716816,0.000600031534775061,111.449155759221,0.0290903492694062,-90.4575,29.9861
634,"4D","P L Bartow","FL","12103","FRCC","Combined Cycle Gas",338.494404064152,3.85691549999991,0.000602641051756457,215.772488499998,0.0337143397125889,2.09627783280869,0.000602641051756441,117.135000498895,0.0336741431852882,-82.6012,27.8613
643,"4","Lansing Smith Generating Plant","FL","12005","SRSE","Combined Cycle Gas",329.888995241631,4.95907599999998,0.000600023054773293,215.7444545,0.0261039852261768,2.32527660746838,0.000600023054773356,101.162320539214,0.0261043027753963,-85.7003,30.2689
55089,"CT1","Taft Cogeneration Facility","LA","22089","MISS","Combined Cycle Gas",189.846126791535,4.41267599999999,0.000600028168964913,215.319498499999,0.029278778778999,2.27689158498869,0.000600028168964912,111.110375297154,0.0292808649661229,-90.4575,29.9861
6035,"1","Greenwood","MI","26147","MISE","Boiler Gas",726.689806748049,1.54323549999998,0.000871012075789316,214.7818905,0.121224285137531,0.356268386367754,0.000871012075789322,48.1201014737637,0.117644986408059,-82.6964,43.1056
55153,"CTG-4","Guadalupe Generating Station","TX","48187","TRE","Combined Cycle Gas",270.195893106944,3.72480549999999,0.000600028376541709,213.282943,0.0343577182841703,1.94438592508982,0.000600028376541703,111.335885710403,0.0343577321207771,-98.1395,29.6237
2330,"1","Fort Churchill","NV","32019","BASN","Boiler Gas",114.537929192609,0.990574999999997,0.00060009271096921,212.6892595,0.128847663556408,0,NA,0,NA,-119.1319,39.1281
160,"2","Apache Station","AZ","04003","SRSG","Boiler Gas",199.896910017293,1.98219800000003,0.000599693256559529,212.5277205,0.0642980372373579,3.02295592526426,0.000599693256559548,323.745410809172,0.0642245353568591,-109.8931,32.0619
56596,"001","Wygen III","WY","56005","RMRG","Coal",123.744071051187,223.130618499999,0.0476958113723814,211.693908999999,0.0452511305719617,143.077305965683,0.0476958113723815,135.759827646304,0.0452564792694532,-105.37945,44.29116
54751,"01","Genesee Power Station","MI","26049","CONUS","EGU-Other",39.4808294130982,57.8409154999999,0.0439821168380203,210.465095000001,0.160037238667411,60.0311637196046,0.0439821168380224,218.165720890693,0.159840150210718,-83.67014,43.085
